Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
ExtraTrees,True,0.5377864573124352,0.4094565380099213,63.48698910230962,53.26188749999998,0.28953136388721495,0.16358409972251897,"{'max_depth': None, 'n_estimators': 200}",
BayesianRidge,True,0.3156882382344267,0.3819188996499361,64.95035513997416,53.48992611401381,0.26790006826404855,0.1673546898736773,"{'alpha_1': 0.0001, 'lambda_1': 1e-06}",
Ridge,True,0.3447639734536913,0.3755871172698503,65.28219155504442,53.8857902833657,0.26978283302488487,0.16820971799805312,{'alpha': 100.0},
GradientBoosting,True,0.4838674296162132,0.35541254385904686,66.32843081715214,53.24854852763268,0.2791325066319847,0.17090551614829202,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50}",
Lasso,True,0.3273931749148721,0.3525933108280157,66.47332293519659,54.310065562565065,0.27353734079995534,0.1712788532213259,{'alpha': 10.0},
RandomForest,True,0.5339168505426933,0.3394634960027152,67.14399996318762,55.56832095238094,0.3044243061449193,0.1730069568750003,"{'max_depth': None, 'n_estimators': 100}",
AdaBoost,True,0.438450798523807,0.31945442201733865,68.15338112709917,56.249540422619745,0.31372781618985274,0.17560778440375976,"{'learning_rate': 0.01, 'n_estimators': 100}",
HistGradientBoosting,True,0.40954562312358406,0.2841103369194973,69.9007513442833,55.77221526585202,0.30086412578736405,0.1801101554864295,"{'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 100}",
XGBoost,True,0.4848439512738955,0.2783910750615781,70.17941538325152,59.136904089791436,0.2953775019206074,0.18082817671541232,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 20}",
SVR,True,0.3232922785811959,0.25434410920504436,71.33916548176911,59.498934515077885,0.3046649064973533,0.18381645318672793,"{'C': 0.1, 'kernel': 'linear'}",
DecisionTree,True,0.10990824859622568,0.24044597292092862,72.00093454254603,60.082499999999996,0.3295653879168774,0.18552160407767593,"{'max_depth': 5, 'min_samples_split': 5}",
MLP,True,0.0641603797201149,-0.008668327401879727,82.97227347568638,65.52918788235579,0.29204149152134157,0.21379096489483734,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",
KNN,True,0.20197130980486708,-0.04303181983250126,84.37379373935278,67.98775510204082,0.3839471396825817,0.21740219979219988,{'n_neighbors': 7},
